Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
BMNH,55.141,T. m. malaccana,f,"Kuala Lumpur, Selangor, Malaysia",W,,Malay Peninsula,3.14,101.69,,,,,,,,13.61,12.92,10.49,18.55,,,,,,9.3,9.59,5.87,2.09,24.05,15.26
BMNH,55.1411,T. m. malaccana,f,"Kuala Lumpur, Selangor, Malaysia",W,,Malay Peninsula,3.14,101.69,,,,,,,,13.93,13.42,10.71,18.76,16.01,,31.49,,,9.18,9.88,6.47,2.18,,
BMNH,55.1412,T. m. malaccana,m,"Nyalas, Malacca, Malaysia",W,,Malay Peninsula,2.43,102.48,34.28,33.96,17.71,12.21,,18.71,,14.31,13.95,11.6,20.53,16.11,36.98,33.57,22.53,14.23,9.95,10.32,6.7,2.65,,
BMNH,55.1414,T. m. malaccana,m,"Labang Endau, East Coast, Pahang, Malaysia",E,,Malay Peninsula,2.59,103.63,33.45,33.04,17.28,11.92,,18.16,,14.69,14.4,11.62,19.89,16.31,35.84,32.54,22.29,13.89,8.93,10.88,7.2,2.44,24.95,15.75
BMNH,55.1415,T. m. malaccana,m,"Klang Gates, Selangor, Malaysia",W,,Malay Peninsula,3.24,101.77,33.9,33.62,17.31,12.05,,18.44,,14.61,14.55,11.9,21.01,16.27,36.56,33.56,22.56,13.95,9.5,10.85,6.83,2.38,,
BMNH,55.1416,T. m. malaccana,f,"Benom Foothills, Pahang, Malaysia",E,,Malay Peninsula,3.82,102.09,33.36,,,12.27,,18.09,,,13.4,10.87,19.14,,36.07,33.17,22.02,13.82,,10.13,6.62,2.28,,
BMNH,55.1417,T. m. malaccana,f,"Bukit Tampin, Negri Sembilan, Malaysia",W,,Malay Peninsula,2.49,102.21,32.74,32.33,16.82,11.98,,17.97,,14.32,13.55,10.9,18.56,16.66,35.42,32.42,21.38,13.24,9.25,9.6,6.11,1.89,25.06,16.13
BMNH,55.1418,T. m. malaccana,m,"Cheras, Selangor, Malaysia",W,,Malay Peninsula,3.07,101.77,33.98,33.97,17.78,12.54,,18.37,,14.64,14.3,11.8,20.45,16.4,36.88,33.29,22.3,13.85,9.66,11.27,7.17,2.47,26.25,16.41
BMNH,55.676,T. m. minor,f,"Paku, Sarebas, Sarawak",N,,Borneo,1.8,111.3,,33.52,,,,,,14.19,13.95,11.45,20,16.09,35.56,33.09,21.75,13.16,10.08,10.8,6.97,2.43,25.89,
BMNH,55.677,T. m. minor,m,"Udan, Paku, Sarebas, Sarawak",N,,Borneo,1.8,111.3,34.98,34.52,17.94,12.26,,19.59,,14.47,14.59,11.81,20.21,16.55,37.2,34.61,23.21,14.92,9.83,11.17,7.53,2.47,26.64,16.83
